4192138,1.39
4192139,1.43
4192140,2.59
4192141,1.38
4192142,2.94
4192143,2.47
4192144,401.48
4192145,1.20
4192146,1.49
4192147,4.74
4192148,1.26
4192149,1.05
4192150,1.48
4192151,5.66
4192152,1.30
4192153,2.26
4192154,4.41
4192155,17.28
4192156,11.30
4192157,9.90
4192158,19.12
4192159,2.65
4192160,1.76
4192161,3.23
4192162,2.64
4192163,1.71
4192164,1.15
4192165,3.27
4192166,343.43
4192167,8.33
4192168,3.66
4192169,1.50
4192170,1.24
4192171,1.79
4192172,1.51
4192173,2.11
4192174,15.47
4192175,2.34
4192176,1.04
4192177,3.85
4192178,2.85
4192179,1.48
4192180,1.52
4192181,3.05
4192182,1.24
4192183,17.78
4192184,1.30
4192185,2.21
4192186,99.56
4192187,3.56
4192188,3.61
4192189,1.04
4192190,2.34
4192191,7.65
4192192,1.00
4192193,1.12
4192194,1.19
4192195,2.78
4192196,12.27
4192197,1.53
4192198,10.41
4192199,1.28
4192200,1.87
4192201,1.17
4192202,1.43
4192203,1.47
4192204,199.90
4192205,1.00
4192206,1.21
4192207,1.56
4192208,2.18
4192209,3.87
4192210,6.54
4192211,1.01
4192212,14.82
4192213,1.79
4192214,653.84
4192215,3.82
4192216,1.01
4192217,29.45
4192218,2.19
4192219,1.33
4192220,4.28
4192221,8.73
4192222,6.67
4192223,1.46
4192224,2.31
4192225,1.12
4192226,7.46
4192227,21.02
4192228,2.16
4192229,1.56
4192230,1.19
4192231,1.78
4192232,1.40
4192233,30.93
4192234,50.85
4192235,4.46
4192236,4.96
4192237,1.41
4192238,5.15
4192239,1.24
4192240,14.39
4192241,1.57
4192242,1.19
4192243,1.15
4192244,2.44
4192245,1.32
4192246,3.57
4192247,1.68
4192248,1.02
4192249,8.98
4192250,1.64
4192251,1.37
4192252,1.05
4192253,7.40
4192254,4.59
4192255,1.00
4192256,1.13
4192257,3.48
4192258,1.79
4192259,2.17
4192260,46.79
4192261,1.29
4192262,3.45
4192263,1.13
4192264,3.92
4192265,1.07
4192266,0.00
4192267,1.14
4192268,1.65
4192269,26.57
4192270,1.54
4192271,1.52
4192272,2.00
4192273,1.09
4192274,1.23
4192275,2.47
4192276,1.65
4192277,2.63
4192278,16.32
4192279,1.91
4192280,82.38
4192281,1.11
4192282,1.79
4192283,100.91
4192284,1.63
4192285,2.21
4192286,1.22
4192287,2.52
4192288,2.99
4192289,1.01
4192290,4.16
4192291,6.03
4192292,2.39
4192293,1.02
4192294,2.50
4192295,1.68
4192296,3.32
4192297,1.20
4192298,1.69
4192299,7.13
4192300,1.21
4192301,1.06
4192302,1.18
4192303,2.56
4192304,2.07
4192305,48.59
4192306,8.98
4192307,2.74
4192308,1.55
4192309,37.30
4192310,15.50
4192311,1.07
4192312,3.23
4192313,1.64
4192314,7.57
4192315,4.52
4192316,7.89
