4111436,2.68
4111437,2.56
4111438,1.27
4111439,3.40
4111440,1.03
4111441,12.17
4111442,0.00
4111443,2.88
4111444,1.23
4111445,1.14
4111446,1.48
4111447,1.33
4111448,2.18
4111449,1.44
4111450,1.59
4111451,1.24
4111452,1.72
4111453,2.21
4111454,20.19
4111455,6.64
4111456,4.95
4111457,2.76
4111458,7.84
4111459,1.15
4111460,7.22
4111461,1.70
4111462,1.46
4111463,4.31
4111464,1.61
4111465,1.01
4111466,1.88
4111467,1.21
4111468,1.62
4111469,2.22
4111470,2.64
4111471,13.46
4111472,4.71
4111473,1.72
4111474,1.94
4111475,1.75
4111476,1.90
4111477,3.04
4111478,198.62
4111479,1.75
4111480,0.00
4111481,46.64
4111482,2.17
4111483,1.10
4111484,2.24
4111485,12.02
4111486,3.02
4111487,1.82
4111488,10.01
4111489,1.11
4111490,1.05
4111491,5.93
4111492,8.93
4111493,1.04
4111494,7.46
4111495,1.12
4111496,7.45
4111497,2.50
4111498,1.36
4111499,1.51
4111500,5.04
4111501,370.93
4111502,2.64
4111503,1.04
4111504,1.37
4111505,1.45
4111506,1.29
4111507,1.25
4111508,1.25
4111509,2.05
4111510,3.81
4111511,2.14
4111512,2.99
4111513,1.27
4111514,2.11
4111515,4.06
4111516,13.17
4111517,1.03
4111518,6.86
4111519,1.11
4111520,1.27
4111521,4.86
4111522,1.93
4111523,2.76
4111524,2.76
4111525,3.52
4111526,1.00
4111527,7.21
4111528,1.10
4111529,1.26
4111530,3.12
4111531,4.29
4111532,2.16
4111533,1.85
4111534,6.10
4111535,1.81
4111536,1.97
4111537,1.88
4111538,3.39
4111539,2.97
4111540,2.84
4111541,1.66
4111542,1.32
4111543,1.43
4111544,8.84
4111545,7.12
4111546,2.59
4111547,15.44
4111548,1.05
4111549,1.03
4111550,2.50
4111551,1.25
4111552,1.22
4111553,55.44
4111554,1.95
4111555,1.27
4111556,1.11
4111557,4.84
4111558,1.69
4111559,1.05
4111560,1.02
4111561,3.93
4111562,4.67
4111563,0.00
4111564,8.42
4111565,8.79
4111566,2.92
4111567,100.36
4111568,1.42
4111569,4.50
4111570,2.43
4111571,1.22
4111572,4.27
4111573,1.91
4111574,1.16
4111575,1.95
4111576,1.89
4111577,1.25
4111578,9.46
4111579,17.78
4111580,1.00
4111581,7.72
4111582,3.68
4111583,1.20
4111584,1.63
4111585,21.01
4111586,1.22
4111587,2.73
4111588,234.92
4111589,1.65
4111590,175.69
4111591,1.21
4111592,2.26
4111593,1.33
4111594,2.36
4111595,1.48
4111596,1.02
4111597,2.45
4111598,16.85
4111599,1.91
4111600,2.89
4111601,7.88
4111602,1.47
4111603,1.80
4111604,5.21
4111605,2.98
4111606,81.97
4111607,1.19
4111608,7.65
4111609,1.37
4111610,9.19
4111611,2.41
4111612,19.92
4111613,1.68
4111614,5.93
4111615,1.64
4111616,86.99
4111617,5.93
4111618,1.65
4111619,7.09
4111620,6.29
4111621,1.18
4111622,1.28
4111623,4.66
4111624,2.26
4111625,1.77
4111626,4.39
4111627,1.32
4111628,56.01
4111629,1.06
4111630,3.08
4111631,2.21
4111632,1.92
4111633,1.19
4111634,1.05
4111635,1.17
4111636,2.12
4111637,1.12
4111638,16.74
4111639,1.16
4111640,1.84
4111641,1.25
4111642,1.44
4111643,1.05
4111644,1.11
4111645,2.00
4111646,2.33
4111647,1.17
4111648,1.03
4111649,1.03
4111650,16.04
4111651,1.25
4111652,1.37
4111653,8.79
4111654,1.29
4111655,2.19
4111656,7.67
4111657,1.09
4111658,1.72
4111659,1.27
4111660,5.76
4111661,1.14
4111662,1.40
4111663,1.82
4111664,1.62
4111665,4.09
4111666,197.93
4111667,1.13
4111668,1.20
4111669,6.04
4111670,1.28
4111671,1.99
4111672,1.31
4111673,0.00
4111674,1.25
4111675,2.29
4111676,2.61
4111677,31.69
4111678,786.51
4111679,1.78
4111680,2.75
4111681,1.03
4111682,2.08
4111683,1.44
4111684,3.89
4111685,7.59
4111686,9.54
4111687,1.39
4111688,5.85
4111689,1.06
4111690,1.05
4111691,1.10
4111692,1.20
4111693,1.37
4111694,4.30
4111695,4.02
4111696,2.14
4111697,2.53
4111698,1.10
4111699,3.52
4111700,1.18
4111701,4.78
4111702,1.73
4111703,11.82
4111704,1.16
4111705,14.22
4111706,3.40
4111707,3.70
4111708,1.82
4111709,1.25
4111710,2.84
4111711,1.19
4111712,2.03
4111713,4.64
4111714,1.63
4111715,2.24
4111716,1.42
4111717,17.68
4111718,1.11
4111719,1.51
4111720,1.40
4111721,1.03
4111722,1.04
4111723,20.16
4111724,1.41
4111725,2.59
4111726,2.15
4111727,5.03
4111728,1.59
4111729,4.24
4111730,1.91
4111731,6.12
4111732,1.36
4111733,7.41
4111734,1.09
4111735,3.34
4111736,1.19
4111737,3.33
4111738,1.39
4111739,21.25
4111740,4.28
4111741,1.65
4111742,14.18
4111743,1.40
4111744,4.80
4111745,1.29
4111746,1.26
4111747,1.86
4111748,1.62
4111749,2.84
4111750,3.00
4111751,7.79
4111752,1.71
4111753,1.92
4111754,6.05
4111755,1.01
4111756,1.23
4111757,41.81
4111758,1.67
4111759,1.31
4111760,21.96
4111761,3.26
4111762,1.26
4111763,1.64
4111764,2.32
4111765,1.72
4111766,4.52
4111767,1.34
4111768,21.99
4111769,1.18
4111770,2.42
4111771,1.54
4111772,7.15
4111773,2.13
4111774,1.14
4111775,2.74
4111776,1.47
4111777,1.88
4111778,1.27
4111779,761.17
4111780,1.70
4111781,1.47
4111782,1.70
4111783,4.78
4111784,1.41
4111785,1.65
4111786,1.59
4111787,2.12
4111788,2.20
4111789,5.86
4111790,1.29
4111791,3.72
4111792,12.11
4111793,1.34
4111794,1.80
4111795,3.38
4111796,3.49
4111797,1.67
4111798,1.34
4111799,1.21
4111800,1.37
4111801,2.58
4111802,1.37
4111803,1.14
4111804,2.31
4111805,1.37
4111806,158.24
4111807,1.09
4111808,4.54
4111809,1.10
4111810,5.34
4111811,6.68
4111812,3.69
4111813,1.87
4111814,4.97
4111815,3.28
4111816,3.38
4111817,1.31
4111818,2.88
4111819,1.13
4111820,237.56
4111821,4.80
4111822,4.04
4111823,14.66
4111824,1.02
4111825,1.14
4111826,3.19
4111827,48.54
4111828,3.50
4111829,140.70
4111830,12.21
4111831,1.38
4111832,1.05
4111833,1.51
4111834,1.69
4111835,5.20
4111836,2.20
4111837,2.31
4111838,407551.01
4111839,3.02
4111840,2.05
4111841,2.38
4111842,1.20
4111843,2.21
4111844,1.11
4111845,1.15
4111846,1.28
4111847,1.88
4111848,1.38
4111849,1.36
4111850,1.56
4111851,1.98
4111852,1.80
4111853,2.09
4111854,2.88
4111855,1.04
4111856,1.59
4111857,9.89
4111858,1.42
4111859,2.02
4111860,59.74
4111861,1.27
4111862,3.16
4111863,1.34
4111864,1.61
4111865,8.49
4111866,1.46
4111867,1.73
4111868,8.56
4111869,1.10
4111870,2.65
4111871,10.50
4111872,1.21
4111873,2.73
4111874,4.55
4111875,1.08
4111876,1.23
4111877,5.75
4111878,2.19
4111879,1.34
4111880,12.19
4111881,11.70
4111882,3.70
4111883,2.80
4111884,3.36
4111885,2.04
4111886,0.00
4111887,3.30
4111888,1.52
4111889,1.16
4111890,7.46
4111891,2.54
4111892,1.38
4111893,3.07
4111894,1.10
4111895,2.96
4111896,4.04
4111897,1.26
4111898,1.33
4111899,1.29
4111900,1.62
4111901,22.02
4111902,1.16
4111903,1.53
4111904,1.69
4111905,1.04
4111906,20.19
4111907,2.69
4111908,1.22
4111909,1.43
4111910,1.38
4111911,1.22
4111912,3.60
4111913,1.02
4111914,1.24
4111915,1.32
4111916,3.42
4111917,37.25
4111918,1.61
4111919,10.16
4111920,1.62
4111921,1.39
4111922,8.35
4111923,1.10
4111924,227.11
4111925,2.46
4111926,1.05
4111927,1.44
4111928,1.02
4111929,2.15
4111930,1.28
4111931,1.42
4111932,1.02
4111933,1.52
4111934,1.18
4111935,1.97
4111936,1.06
4111937,5.09
4111938,2.54
4111939,1.77
4111940,1.04
4111941,1.92
4111942,1.31
4111943,2.68
4111944,1.67
4111945,1.51
4111946,2.15
4111947,3.39
4111948,1.19
4111949,2.20
4111950,1.35
4111951,1.06
4111952,1.30
4111953,3.78
4111954,1.12
4111955,4.20
4111956,1.14
4111957,1.99
4111958,2.04
4111959,1.29
4111960,1.64
4111961,1.41
4111962,1.39
4111963,4.18
4111964,1.75
4111965,45.47
4111966,4.15
4111967,1.20
4111968,1.55
4111969,1.22
4111970,1.60
4111971,5.28
4111972,1.80
4111973,25.36
4111974,3.05
4111975,0.00
4111976,1.06
4111977,1.15
4111978,14.04
4111979,2.50
4111980,1.93
4111981,36.34
4111982,3.11
4111983,2.23
4111984,1.09
4111985,3.31
4111986,1.18
4111987,1.60
4111988,0.00
4111989,2.43
4111990,1.48
4111991,1.46
4111992,3.02
4111993,3.69
4111994,1.06
4111995,5.37
4111996,3.00
4111997,1.01
4111998,1.18
4111999,1.43
4112000,1.61
4112001,3.28
4112002,1.36
4112003,3.91
4112004,1.05
4112005,29.21
4112006,15.20
4112007,2.91
4112008,13.41
4112009,7.06
4112010,1.29
4112011,1.40
4112012,1.02
4112013,9.50
4112014,2.12
4112015,2.32
4112016,1.37
4112017,3.97
4112018,1.22
4112019,4.35
